Folders,Notes,WorkingSize,BackupSize
camels_03291780_10161364,NotDELETED_Backup_Not_Same_Size,333125501,203760396
camels_06623800_15984809,NotDELETED_Backup_Not_Same_Size,337643921,570025161
camels_08269000_17864360,NotDELETED_Backup_Not_Same_Size,311211818,515218607
camels_05413500_13324626,NotDELETED_Backup_Not_Same_Size,1503909701,1395162536
camels_02017500_8525659,NotDELETED_Backup_Not_Same_Size,629003699,928853990
camels_02137727_9754776,NotDELETED_Backup_Not_Same_Size,795346263,1272097089
camels_03281500_503758,NotDELETED_Backup_Not_Same_Size,3537776559,3671176794
camels_09081600_1326465,NotDELETED_Backup_Not_Same_Size,842431675,717661696
camels_08267500_17863440,KEEP_FOLDER,NA,NA
camels_02202600_9944858,NotDELETED_Backup_Not_Same_Size,1218723518,1745770708
camels_01547700_8139414,KEEP_FOLDER,NA,NA
camels_14137000_23735817,NotDELETED_Backup_Not_Same_Size,500483166,1887964406
camels_14306500_23886298,NotDELETED_Backup_Not_Same_Size,1120324905,2211662203
camels_06814000_19158238,KEEP_FOLDER,NA,NA
camels_03384450_11868270,NotDELETED_Backup_Not_Same_Size,432030328,296238371
camels_06350000_16213178,NotDELETED_Backup_Not_Same_Size,1832923322,3824439621
camels_13023000_24432173,NotDELETED_Backup_Not_Same_Size,1392636992,2740465717
camels_07340300_3746094,KEEP_FOLDER,NA,NA
camels_06404000_14396112,NotDELETED_Backup_Not_Same_Size,293494367,478605896
camels_02349900_6442680,NotDELETED_Backup_Not_Same_Size,474011180,504633891
TEST_camels_10259000_22592131,exception_thrown,NA,NA
camels_01552500_8151091,KEEP_FOLDER,NA,NA
camels_03050000_4353002,NotDELETED_Backup_Not_Same_Size,334826060,982825556
camels_12114500_24538014,KEEP_FOLDER,NA,NA
camels_02018000_8522521,NotDELETED_Backup_Not_Same_Size,1486523177,2699766827
camels_02038850_8611825,NotDELETED_Backup_Not_Same_Size,7268048023,7330904458
camels_06889500_3646124,NotDELETED_Backup_Not_Same_Size,593062045,1724462291
HUC01,NotDELETED_Backup_Not_Same_Size,312811826,385540818
camels_01162500_9343363,NotDELETED_Backup_Not_Same_Size,348122125,667449614
